Lattice3x20172.csv,
10,5,1,0,
0,3026,6052,9078,12104,15130,18156,21182,24208,27234,30260,33286,36312,39338,42364,45390,48416,51442,54468,57494,
60516.0,21.82,67.57,97.7,942.03,510.25,752.34,1410.4,3316.41,2211.71,3316.35,5027.27,9397.46,9142.8,4956.38,7505.67,7032.28,3026.7,0.0,0.0,
60516,60,84,118,73,64,59,56,40,65,54,46,60516,36,7,22,0,0,0,0,
60516,65,51,79,72,106,31,50,86,54,31,10867,43,45,15,7,0,0,0,0,
60516,8,78,52,77,44,14308,11,121,61,45,32330,67,21,60516,30,0,0,0,0,
60516,11,31,194,56,64,24,33,69,49,8979,74,65,65,34,0,0,0,0,0,
60516,0,0,102,74,75,41,37,56,4366,76,14,29,28,8,14,0,0,0,0,
60516,40,80,54,121,47,93,59,67,30,29,98,37,25,16,14,7,0,0,0,
60516,38,109,79,58,55,42,54,44,110,79,60,38,53,28,31,0,0,0,0,
60516,0,29,149,80,76,40,51,15,38,63,44666,60516,37,52267,14,7,0,0,0,
60516,14,0,94,64,101,19,51,34,39,83,49,66,30,14,0,0,0,0,0,
60516,0,122,113,47,131,84,24,83,45,85,97,60516,38,15,46333,0,0,0,0,
60516,0,42,89,117,47,37,44,48,41,82,76,4313,52,23,15,0,0,0,0,
60516,0,143,96,134,82,84,42,41,57,53,99,30,55,16,22,8,0,0,0,
60516,14,105,76,120,105,67,59,34646,123,25,52,34778,40,22,30,60516,0,0,0,
60516,40,61,63,99,22,46,58,52,77,48,46,56488,23,7028,30,60516,0,0,0,
60516,0,59,185,88,44,4388,45,75,37221,82,23,68,41,15,13,0,0,0,0,
60516,50,7,73,64,58,71,49,45,22518,104,70,40,15,15,0,0,0,0,0,
60516,46,97,145,103,97,48,31,60516,44,81,6491,15,46,6994,8,0,0,0,0,
60516,0,97,87,57,116,15,83,7527,69,49,86,47,36,44,0,0,8,0,0,
60516,17,74,19,75,80,75,54,64,64,59,11338,19059,36,15,4380,0,0,0,0,
60516,53,33,59,63,87,65,62,58,96,86,27735,22,21,36,26,0,0,0,0,
60516,14,22,85,85,43,86,58,43,29,38,24511,14,8,7,7,7,0,0,0,
60516,0,66,143,65,15855,34,8115,53,48,5456,3712,67,9958,52,0,60516,0,0,0,
60516,0,70,113,144,53,65,53,26,5375,45,37,2469,3240,12357,16,7,0,0,0,
60516,10,113,123,61,62,97,15,56,53,62,60,59,7,21,60516,8,0,0,0,
60516,21,55,63,75,42,64,38,12842,37215,63,59,36,40,15,60516,7,0,0,0,
60516,22,57,530,71,67,19,68,20601,56,53678,20504,52088,14,44,60516,0,0,0,0,
60516,107,71,81,106,106,45,59,46,61,93,38,29,32,60516,14,60516,60516,0,0,
60516,14,90,36,80,69,92,73,10631,67,43,2062,44,23,30,8,7,60516,0,0,
60516,14,41,49,121,56,74,60,35,79,84,32,37,44,30,0,7,60516,0,0,
60516,26,86,158,108,4329,41,38,40,40,68,79,28,21,0,8,60516,0,0,0,
60516,14,87,194,62,41,37,25,21,51,26,74,74,5772,22,60516,0,0,0,0,
60516,0,50,72,57,83,7,47,18,39,27,101,56,14,30356,0,0,0,0,0,
60516,0,117,95,60,60,53,112,55,59,46,59,17,16671,22,14,7,7,0,0,
60516,22,55,155,83,51,37,54,59,57,90,15116,52,30,8,23,0,0,0,0,
60516,8,52,149,107,77,46,55,74,96,10724,37,61,57955,7,0,0,7,0,0,
60516,14,53,71,76,82,72,46,61,57,60516,39,60278,21,29,60516,0,0,0,0,
60516,0,54,21,4426,56,78,62,54,29,51,99,81,32,4699,8,8,0,0,0,
60516,0,85,19,38,95,40,74,24,46,11849,81,49,4524,34364,7,7,7,0,0,
60516,0,126,71,48,163,44,65,75,77,36,47,67,43,15,7,7,0,0,0,
60516,0,51,11,45,62,50,136,72,53,79,90,49,23,0,60516,0,7,0,0,
60516,31,38,168,56,84,87,53,5965,46,79,37,33,53,16,23,0,0,0,0,
