Lattice3x5043.csv,,,,,,,,,,,,,,,,,,,,
11,6,2,0,,,,,,,,,,,,,,,,,
0,756,1512,2268,3024,3780,4536,5292,6048,6804,7560,8316,9072,9828,10584,11340,12096,12852,13608,14364,15120
15129,7,19.43,21.52,46.32,15.14,234.74,470.69,12.45,327.36,1061.49,334.2,309.1,428.79,675.22,853.06,605.7,151.36,0,0,0
15129,0,57,17,52,31,0,0,30,15,15,7,36,10,0,0,8,0,0,0,0
15129,0,8,59,0,7,31,0,8,8,16,7,0,7,0,8,0,0,0,0,0
15129,17,17,0,50,8,8,15,18,15,15,7,30,0,0,0,0,0,0,0,0
15129,0,17,10,13,32,22,20,30,23,0,0,16,14,0,0,0,0,0,0,0
15129,26,0,64,0,7,27,15126,0,21,19,25,7,18,8,0,0,0,0,0,0
15129,14,10,0,19,17,31,7,0,16,26,14,8,0,15,7,0,0,0,0,0
15129,0,70,8,14,34,18,26,7,25,24,15,0,8,0,0,0,0,0,0,0
15129,14,44,49,18,0,0,29,7,23,38,48,18,8,0,0,0,0,0,0,0
15129,0,17,22,31,23,14,0,0,31,25,8,7,7,7,0,0,0,0,0,0
15129,0,34,45,57,16,18,0,30,35,0,0,0,16,16,0,0,0,0,0,0
15129,0,14,54,26,22,8,18,8,15,30,7,0,7,15,8,15120,0,0,0,0
15129,0,0,55,57,14,0,10,7,37,751,17,7,0,0,0,0,0,0,0,0
15129,0,8,51,19,0,8,0,0,26,0,16,34,18,0,0,0,0,0,0,0
15129,178,11,11,35,8,14,0,19,23,15,18,32,7,15120,0,0,0,0,0,0
15129,0,60,36,28,8,18,33,11,16,25,23,8,0,0,7,0,0,0,0,0
15129,0,0,0,19,0,31,8,7,0,18,15,22,7,0,10,15120,0,0,0,0
15129,0,20,32,19,14,21,15,8,0,15126,16,27,21,7,0,0,0,0,0,0
15129,32,39,8,0,23,7,8,22,16,15,0,24,15,8,0,0,0,0,0,0
15129,0,23,8,19,21,19,8,33,16,15,0,8,7,0,8,0,0,0,0,0
15129,0,40,27,27,8,20,0,7,0,7,15120,14,7,10,0,0,0,0,0,0
15129,0,20,15,58,30,0,23,0,30,8,0,0,0,0,0,8,0,0,0,0
15129,0,25,16,30,23,61,0,11,8,7,19,8,7,15126,0,0,0,0,0,0
15129,0,0,0,23,24,14,0,0,14,31,15120,7,7,0,0,0,0,0,0,0
15129,20,14,15,8,0,0,0,8,8,15126,8,39,7,0,7,0,8,0,0,0
15129,0,8,25,7,31,18,0,0,25,0,25,7,15,15120,0,0,0,0,0,0
15129,0,0,13,21,7,17,15129,8,7,18,8,7,8,0,15126,8,0,0,0,0
15129,0,8,19,32,8,8,8,15,0,8,32,15,0,0,8,0,0,0,0,0
15129,0,17,40,13,0,1835,408,7,8,15,34,0,15,0,0,0,0,0,0,0
15129,0,37,18,16,28,19,11,0,21,7,8,14,0,0,0,0,0,0,0,0
15129,0,17,19,19,34,19,15126,15,10,50,17,22,8,0,8,0,0,0,0,0
15129,0,8,7,0,11,8,18,0,14,7,15,7,8,8,9451,0,0,0,0,0
15129,0,43,0,8,8,11,8,16,15,15126,15,0,16,0,7,0,0,0,0,0
15129,0,0,26,8,0,7,16,15,14,54,20,8,7,15,8,8,0,0,0,0
15129,20,68,29,8,16,8,29,29,15,23,14,8,14,8,7,0,0,0,0,0
15129,35,17,16,28,30,22,17,30,16,21,22,1891,38,0,0,0,0,0,0,0
15129,0,23,22,36,17,0,25,33,16,7,14,2260,0,7,0,0,0,0,0,0
15129,22,8,14,43,0,27,8,8,27,19,30,8,7,0,0,0,0,0,0,0
15129,0,8,36,26,17,27,0,0,7,10,0,28,7,0,0,0,0,0,0,0
15129,0,0,11,11,11,8,21,8,915,0,0,24,7,0,0,0,0,0,0,0
15129,0,0,0,11,11,0,16,8,0,8,33,32,22,0,15126,0,0,0,0,0
15129,0,47,19,30,18,10,18,15,2728,15126,26,7,17,7,7,0,0,0,0,0
15129,0,17,22,30,13,14,23,8,8,15,8,11443,7,0,0,0,0,0,0,0
15129,0,8,33,25,0,34,16,0,8,7,0,22,7,0,0,8,0,0,0,0
15129,11,0,18,31,11,22,29,8,0,0,0,0,0,7,0,0,0,0,0,0
15129,0,55,30,8,48,8,32,37,15126,14,7,10,0,0,8,0,0,0,0,0
15129,0,20,7,37,15,22,18,0,15,15,32,15,15,0,0,0,0,0,0,0
15129,0,0,14,43,34,21,27,0,28,8,25,7,15120,0,0,0,15120,0,0,0
15129,0,0,16,7,7,19,8,0,32,16,1742,11228,8,0,0,0,0,0,0,0
15129,0,61,8,47,0,28,7,15,16,15,18,14,0,0,0,0,0,0,0,0
15129,0,0,8,8,14,15,0,19,10,8,23,0,7,15,0,0,0,0,0,0
15129,0,0,39,30,0,0,33,11,15,25,8,7,0,15120,0,0,0,0,0,0
15129,0,29,16,16,19,16,11,29,8,0,22,8,0,0,0,0,0,0,0,0
15129,0,28,40,30,10,22,18,22,5902,16,15,28,8,0,0,0,0,0,0,0
15129,0,72,20,8,11,26,45,16,0,17,16,7,22,8,0,0,0,0,0,0
15129,0,40,0,27,7,7,0,19,17,20,30,20,7,7,0,0,0,0,0,0
15129,11,14,33,41,10,0,0,23,7,8,8,18,8,6571,0,0,0,0,0,0
15129,0,43,65,30,0,21,7,8,28,8,16,7,0,8,7,0,0,0,0,0
15129,0,0,19,38,31,22,15,0,45,41,23,7,7,7,0,0,0,0,0,0
15129,28,11,37,56,15,19,18,0,8,15,15,7,15,7,0,0,0,0,0,0
15129,0,8,50,0,28,8,16,15,15,8,7,7,15,0,0,0,0,0,0,0
15129,56,11,25,11,13,25,32,23,0,18,7,0,0,0,0,0,0,0,0,0
15129,0,55,25,17,14,8,0,0,16,23,26,0,8,21,0,0,0,0,0,0
15129,8,0,32,7,0,7,43,23,0,19,18,8,8,8,7,0,0,0,0,0
15129,0,25,0,87,8,8,16,32,32,17,15,7,0,7,0,0,0,0,0,0
15129,0,37,20,7,17,22,0,8,24,8,7,15,11588,8,15129,0,0,0,0,0
15129,26,32,35,27,0,43,30,23,0,10,0,17,0,15,7,0,0,0,0,0
15129,0,0,21,18,23,16,15,0,22,8,8,14,0,8,0,0,8,0,0,0
15129,38,8,27,21,24,24,27,39,22,7,0,23,8,0,8,0,0,0,0,0
15129,0,25,14,13,0,8,0,7,7,14,7,22,7,0,7,0,0,0,0,0
15129,0,0,31,22,19,24,7,7,8,10190,7,23,14,18,0,0,0,0,0,0
15129,0,0,20,11,30,8,17,8,0,0,15,7,15,0,0,0,0,0,0,0
15129,0,0,17,17,18,0,35,24,0,18,30,8,0,8,0,8,0,0,0,0
15129,0,45,0,24,11,22,25,26,7,44,16,16,7,7,0,0,0,0,0,0
15129,0,0,40,54,11,15120,22,0,0,19,22,15,0,0,0,7,0,0,0,0
15129,0,0,11,11,32,11,0,21,8,32,7,7,7,22,7,7,0,0,0,0
15129,0,27,18,69,0,32,7,16,0,16,0,2853,0,25,8,0,0,0,0,0
15129,0,0,11,10,10,19,21,16,33,19,30,7,10,8,0,0,0,0,0,0
15129,0,17,16,31,20,21,11,0,41,9472,0,15,7,0,8,8,0,0,0,0
