Lattice3x5043.csv,,,,,,,,,,,,,,,,,,,,
4,3,1,0,,,,,,,,,,,,,,,,,
0,756,1512,2268,3024,3780,4536,5292,6048,6804,7560,8316,9072,9828,10584,11340,12096,12852,13608,14364,15120
15129,246.18,1126.34,1628.29,2267.51,3317.02,3291.79,3304.32,3689.57,3385.35,4433.19,3747.07,3051.14,2590.46,2584.82,1318.38,972,757.9,0.25,0.05,0
15129,0,68,8376,2087,204,7999,83,2953,13621,2052,7388,26,5,10,15124,10,0,0,0,0
15129,11,83,3277,768,103,2370,72,5057,2242,26,10619,36,3065,15119,13,0,0,0,0,0
15129,20,47,116,694,5063,6397,9066,40,2718,5592,28,1451,15124,10,13,0,5,0,0,0
15129,34,3409,613,157,85,85,4562,14560,11365,1695,4775,6846,38,1016,5,10,5,5,0,0
15129,85,91,87,69,3326,4215,3645,9538,75,37,2014,8724,7929,5,5727,5,0,0,0,0
15129,0,45,2939,135,10393,13148,11978,45,66,10505,10561,23,33,18,10,5,0,0,0,0
15129,43,90,487,77,646,4631,6212,73,6834,37,839,5542,18,5,13,0,0,0,0,0
15129,0,29,3092,4011,2153,7544,2122,72,53,1051,3349,9748,21,675,18,13,0,0,0,0
15129,58,2382,38,83,2366,4124,1803,56,15119,3590,2091,6123,8,15121,0,0,5,0,0,0
15129,11,79,58,1759,8500,3728,3345,2625,4801,34,44,6889,28,2893,6987,0,0,0,0,0
15129,67,75,139,691,11748,821,583,3930,58,1900,1114,56,5431,10,5,10,0,0,0,0
15129,46,46,111,889,113,1714,157,2056,38,11583,8401,4293,1774,33,23,0,0,0,0,0
15129,37,84,110,5263,1405,77,881,11837,39,31,2653,34,13,18,10,5,0,0,0,0
15129,58,118,3537,321,159,61,55,1053,23,1232,4109,4331,26,15124,13,0,0,0,0,0
15129,19,54,2693,115,2957,10910,2885,29,54,29,3701,20,23,521,10,8040,0,0,0,0
15129,0,53,5922,1124,4979,5534,2227,26,7299,6169,12483,15,10,10,23,5,5,0,0,0
15129,101,90,5970,8323,11257,3189,67,1446,5380,13852,15129,52,1550,1172,13,5,0,5,0,0
15129,105,48,125,3381,51,2334,38,813,3875,10480,26,28,15119,13,0,0,0,5,0,0
15129,11,81,82,4292,96,244,1107,11399,2521,7523,6629,31,15,13,23,5,0,0,0,0
15129,53,66,97,2109,2749,7697,3547,6420,514,6680,615,36,2369,10173,0,5,5,0,0,0
15129,47,61,83,928,77,1802,103,9338,48,827,7067,1148,10,20,15,0,10,0,0,0
15129,61,76,4397,8040,12306,31,11499,38,5937,2661,6067,37,5056,20,18,0,5,0,0,0
15129,0,84,32,132,9204,556,965,7843,4019,14227,260,1555,13,1768,21,10,0,0,0,0
15129,43,173,140,62,6575,3304,73,2009,56,1628,14351,2944,6014,11035,15,5,0,0,0,0
15129,192,90,24,1345,100,4106,1991,964,32,7078,2330,7569,18,18,10,10,0,0,0,0
