Lattice174x174.csv,,,,,,,,,,,,,,,,,,,,
18,17,13,0,,,,,,,,,,,,,,,,,
0,1513,3026,4539,6052,7565,9078,10591,12104,13617,15130,16643,18156,19669,21182,22695,24208,25721,27234,28747,30260
30276,23412.13,17789.57,13466.46,10274.95,7930.56,6136.11,4737.99,3610.07,2707.4,1940.95,1342.15,843.89,500.85,256.13,115.84,40.5,11.56,1.15,0.1,0
30276,23231,18066,13302,10683,8189,5965,4758,3596,2692,1744,1217,874,481,254,121,15,15,0,0,0
30276,23299,17673,13621,10557,7727,6046,4753,3747,2438,1975,1353,836,540,263,141,55,10,5,0,0
30276,23400,18118,13499,10115,7794,6112,5034,3654,2735,1830,1303,866,548,262,123,35,20,0,0,0
30276,23437,17918,13321,10146,7762,5790,4753,3810,2589,1997,1416,977,453,160,123,45,0,0,0,0
30276,23375,17689,13279,10142,7826,5815,4857,3403,2904,1938,1416,821,515,321,108,47,20,0,0,0
30276,23378,17726,13605,10519,8083,6349,4620,3631,2633,1675,1267,773,447,225,100,45,5,0,0,0
30276,23459,17717,13285,10391,7932,6304,4963,3530,2749,1928,1389,813,594,190,135,50,0,0,0,0
30276,23446,17644,13737,10669,8204,6051,4781,3555,2820,1936,1324,832,455,239,90,31,15,5,0,0
30276,23254,17708,13374,10511,8206,6284,4903,3690,2707,1889,1322,885,555,292,107,20,20,0,0,0
30276,23391,17940,13702,10194,7721,6129,4554,3647,2639,1916,1258,789,451,269,115,40,25,0,0,0
30276,23437,17912,13859,10445,7839,6176,4742,3598,2441,2052,1259,879,478,319,95,15,10,0,0,0
30276,23510,17649,13644,10290,8075,6073,4546,3464,2942,1932,1323,805,415,241,132,58,20,0,0,0
30276,23365,17854,13521,9874,7677,6251,4590,3745,2792,1834,1421,738,441,265,148,30,15,0,0,0
30276,23284,17872,13161,10430,8161,6341,4780,3801,2776,1891,1365,830,509,219,83,40,5,0,0,0
30276,23434,17916,13488,10045,7950,6194,4779,3710,2966,1971,1383,842,517,183,123,45,25,0,0,0
30276,23501,17539,13566,10184,8095,5869,4589,3723,2584,1824,1319,862,585,253,81,40,10,0,0,0
30276,23464,17711,13448,10151,7850,6002,4997,3526,2772,1972,1507,884,482,301,154,38,10,5,0,0
30276,23427,17907,13524,10248,8287,6113,4540,3434,2687,1925,1339,850,483,321,104,58,20,0,0,0
30276,23453,17800,13299,10257,8595,6277,4852,3219,2725,2029,1373,990,445,246,108,30,5,10,0,0
30276,23324,17938,13628,10259,7690,6275,4497,3558,2803,1861,1319,830,511,205,103,58,20,5,0,0
30276,23390,17780,13689,10113,7833,6179,4951,3581,2545,1861,1437,884,566,256,111,20,5,0,0,0
30276,23571,17562,13370,10349,8113,6289,4468,3655,2608,2011,1282,867,493,234,108,50,10,5,0,0
30276,23590,17682,13806,10442,7842,6145,4700,3739,2610,1821,1319,880,575,215,60,40,15,5,0,0
30276,23453,18166,13283,9895,7960,6219,4657,3484,2672,2045,1398,805,476,271,116,50,5,0,0,0
30276,23376,17836,13664,10730,7684,6007,4881,3500,2613,1895,1019,815,502,262,117,60,25,0,0,0
30276,23276,17927,13267,10224,7941,6512,4636,3795,2863,2005,1375,892,481,211,161,50,10,0,0,0
30276,23405,18179,13560,10254,7711,6171,4820,3563,2764,2048,1300,820,488,252,110,25,5,10,0,0
30276,23388,17610,13059,10451,7832,6171,4519,3354,2679,1925,1310,899,563,291,93,45,15,0,0,0
30276,23325,17962,13339,9973,7864,5990,4566,3534,2709,1959,1313,818,612,277,177,45,20,0,0,0
30276,23529,17613,13387,10177,8124,6327,4929,3651,2750,1977,1195,894,414,224,128,65,10,0,0,0
30276,23469,17713,13296,10030,7960,6095,4732,3574,2590,1881,1428,836,455,302,87,70,10,0,0,0
30276,23410,17622,13343,10448,7924,6138,4841,3559,2533,1778,1345,889,542,231,131,50,15,5,0,0
30276,23488,17876,13759,10189,7855,6013,4618,3489,2853,1972,1385,970,369,203,140,43,0,5,5,0
30276,23495,17765,13510,10605,8046,6038,4634,3413,2738,1852,1380,785,505,217,89,50,5,0,0,0
30276,23372,17664,13329,10418,7902,6083,4759,3730,2635,2020,1135,799,426,266,105,20,10,0,0,0
30276,23447,17811,13750,10462,7965,6034,4833,3592,2864,1930,1322,835,494,248,117,55,5,0,0,0
30276,23412,17774,13656,10598,7950,6323,4721,3613,2615,2174,1315,893,474,231,118,55,10,0,0,0
30276,23417,17669,13774,10235,7752,6190,5003,3569,2760,2102,1480,846,530,326,131,43,10,0,0,0
30276,23322,17729,13488,10276,7965,6350,4970,3670,2746,2014,1439,871,523,241,109,45,5,0,0,0
30276,23484,17930,13482,10238,7803,6445,4882,3907,2741,1977,1448,835,472,251,109,39,10,0,0,0
30276,23260,17699,13490,10285,7982,6360,4958,3582,2672,2021,1431,882,577,296,96,30,30,0,0,0
30276,23531,17654,13328,10104,7667,6417,4605,3763,2665,1921,1265,788,490,259,118,45,10,0,0,0
30276,23390,17723,13405,10254,8247,5930,4543,3687,2777,1946,1317,891,481,297,112,53,5,0,0,0
30276,23510,17636,13509,10420,7956,6080,4712,3344,2786,2019,1458,801,624,226,132,55,15,0,0,0
30276,23598,17969,13573,10478,8053,6046,4721,3378,2904,2021,1339,815,477,242,187,25,5,0,0,0
30276,23354,17602,13795,10444,7500,6133,4723,3500,2786,1859,1267,777,486,262,161,45,8,0,0,0
30276,23383,17967,13747,10078,7868,6314,4737,3764,2750,2120,1337,877,490,171,114,30,10,0,0,0
30276,23557,17830,13777,10352,7936,6287,4634,3513,2639,2023,1242,797,471,370,149,34,15,0,0,0
30276,23328,17697,13281,10367,7645,6342,4840,3435,2823,2040,1275,905,572,255,124,45,15,0,0,0
30276,23373,17401,13395,10308,8222,6253,4519,3870,2876,2043,1356,771,471,211,168,25,5,0,0,0
30276,23509,17726,13493,10176,7858,6121,4557,3588,2672,2116,1359,787,477,245,115,66,5,0,0,0
