Lattice3x5043.csv,,,,,,,,,,,,,,,,,,,,
18,17,13,0,,,,,,,,,,,,,,,,,
0,756,1512,2268,3024,3780,4536,5292,6048,6804,7560,8316,9072,9828,10584,11340,12096,12852,13608,14364,15120
15129,11548.96,8658.29,6519.72,4968.16,3842.88,2980.2,2318.39,1768.06,1336.79,962.99,666.75,423.01,253.03,125.35,56.19,21.43,5.47,0.9,0.05,0
15129,11585,8724,6769,4936,3935,3061,2434,1839,1355,939,726,375,227,161,55,25,0,0,0,0
15129,11447,8607,6377,4948,3888,3138,2392,1558,1363,1023,542,409,280,150,62,30,0,0,0,0
15129,11555,8684,6668,4926,3786,3017,2312,1733,1360,1048,844,348,264,127,75,25,5,0,0,0
15129,11501,8709,6266,5118,3863,2849,2175,1829,1302,973,611,435,248,155,42,20,5,0,0,0
15129,11564,8470,6452,5033,3767,3128,2246,1730,1396,1087,686,306,294,155,50,25,5,0,0,0
15129,11519,8593,6599,4964,3649,3002,2395,1832,1170,1034,739,416,268,130,22,20,10,0,0,0
15129,11626,8592,6419,4958,3886,3091,2337,1694,1418,947,625,447,250,175,45,20,0,0,0,0
15129,11455,8582,6276,4926,3819,2607,2066,1609,1334,1016,705,362,211,134,64,15,10,5,0,0
15129,11491,8570,6246,4907,3807,2848,2145,1854,1038,1088,617,416,237,100,73,22,0,0,0,0
15129,11514,8657,6468,5072,3551,2752,2161,1883,1337,916,694,408,212,121,61,25,5,0,0,0
15129,11497,8760,6324,5039,3815,2843,2291,1758,1395,960,680,420,303,130,75,25,5,5,0,0
15129,11475,8871,6590,4840,4077,3098,2625,1716,1355,982,706,424,227,128,45,10,5,0,0,0
15129,11387,8680,6611,4840,3869,2841,2268,1900,1211,872,665,367,192,51,72,35,10,0,0,0
15129,11528,8725,6539,4939,3959,2915,2415,1682,1347,909,626,431,204,70,66,35,5,0,0,0
15129,11499,8735,6686,4965,3782,3057,2227,1959,1441,853,719,455,216,122,70,35,5,0,0,0
15129,11497,8481,6638,5067,3880,3098,2234,1941,1282,910,675,406,276,147,45,20,5,0,0,0
15129,11406,8605,6503,5222,3872,3018,2475,1849,1381,949,666,426,306,116,62,25,10,0,0,0
15129,11618,8541,6404,4917,3568,2977,2225,1648,1480,952,684,433,246,103,82,25,5,5,0,0
15129,11438,8650,6499,5135,3890,2854,2374,1725,1391,918,698,410,305,146,48,32,5,0,0,0
15129,11475,8350,6518,4838,3775,3032,2348,1829,1380,1000,691,429,265,144,22,15,5,10,0,0
15129,11519,8627,6468,5056,3774,3039,2293,1741,1415,950,634,505,261,145,65,20,5,0,0,0
15129,11618,8640,6782,4915,3665,3069,2366,1770,1351,891,654,437,192,142,61,40,5,0,0,0
15129,11620,8866,6671,4871,3915,3023,2345,1870,1351,1012,611,497,239,150,45,30,0,0,0,0
15129,11659,8418,6396,5022,3725,2895,2356,1783,1273,1030,706,467,281,114,81,10,20,0,0,0
15129,11483,8620,6671,4953,3723,2950,2477,1660,1332,886,662,416,241,103,67,20,0,5,0,0
15129,11582,8799,6402,4912,3727,2798,2453,1636,1371,1057,752,461,277,108,62,5,5,0,0,0
15129,11540,8608,6643,5015,3989,2988,2415,1794,1462,1053,510,456,212,87,62,25,5,0,0,0
15129,11410,8561,6568,4902,3771,2776,2224,1615,1425,1007,686,395,258,141,90,20,5,0,0,0
15129,11466,8550,6426,4924,3740,2882,2500,1694,1272,923,698,350,203,156,62,0,0,0,0,0
15129,11641,8604,6490,4804,3834,3021,2359,1739,1309,892,634,426,209,128,52,30,10,0,0,0
15129,11561,8529,6519,4984,3881,2998,2265,1917,1303,1015,631,414,242,86,68,30,10,0,0,0
15129,11611,8751,6505,4892,3853,3003,2450,1723,1450,1049,758,415,307,82,60,20,10,5,0,0
15129,11729,8655,6722,5079,3995,2776,2448,1693,1422,1067,608,416,271,120,72,20,5,0,0,0
15129,11644,8666,6426,4889,3808,2998,2195,1839,1373,1049,702,483,210,110,57,15,7,0,0,0
15129,11481,8734,6090,5128,4005,2930,2317,2032,1310,844,748,481,246,95,50,30,10,5,0,0
15129,11434,8775,6246,5012,4158,2854,2312,1865,1256,920,738,377,291,120,20,30,10,0,0,0
15129,11661,8682,6451,4852,3645,3076,2438,1713,1364,897,666,433,294,117,40,20,0,0,5,0
15129,11544,8629,6591,4919,4077,2910,2413,1673,1210,1058,754,410,261,171,40,10,20,0,0,0
15129,11543,8712,6434,5130,3949,2919,2369,1769,1345,929,700,362,284,109,60,30,0,0,0,0
15129,11635,8572,6512,4698,4128,2911,2401,1660,1208,913,698,392,271,100,25,33,5,0,0,0
15129,11470,8692,6647,5059,3784,3096,2405,1656,1449,1001,573,441,271,95,39,15,10,0,0,0
